p_id,brand_id,name,price,color,brand_name,ratingCount,avg_rating
13140232,734.0,READIPRINT FASHIONS PURPLE EMBELLISHED READY TO WEAR VELVET LEHENGA WITH BLOUSE,3750.0,PURPLE,READIPRINT FASHIONS,16.0,3.4375
15096342,75.0,ANOUK TURQUOISE BLUE WOVEN DESIGN ZARI SILK BLEND READY TO WEAR BANARASI SAREE,2899.0,TURQUOISE BLUE,ANOUK,37.0,3.0
15415146,309.0,FLYING MACHINE WOMEN CHARCOAL TYPOGRAHY PRINTED FRONT-OPEN SWEATSHIRT,2499.0,CHARCOAL,FLYING MACHINE,12.0,4.75
15691156,715.0,QUIERO WOMEN GORGEOUS GREEN SOLID PONCHOSHRUG,1789.0,GREEN,QUIERO,184.47941042394774,4.101225865898192
16490378,748.0,RIVER OF DESIGN JEANS WOMEN BLUE HIGH-RISE DENIM SHORTS,2299.0,BLUE,RIVER OF DESIGN JEANS,27.0,4.407407407
16567032,387.0,IKI CHIC WOMEN BLACK LONGLINE OUTDOOR PUFFER JACKET,11399.0,BLACK,IKI CHIC,184.47941042394774,4.101225865898192
16860084,239.0,DRESSBERRY WOMEN BLACK SOLID STRETCHABLE JEANS,2099.0,BLACK,DRESSBERRY,17.0,4.588235294
17240056,783.0,SASSAFRAS WOMEN PEACH-COLOURED & OFF-WHITE PRINTED PLAYSUIT,1699.0,PEACH,SASSAFRAS,9.0,2.666666667
17480756,772.0,SALWAR STUDIO WOMEN GREEN& YELLOW PRINTED UNSTITCHED DRESS MATERIAL,1095.0,GREEN,SALWAR STUDIO,184.47941042394774,4.101225865898192
17582500,207.0,DARZI BLACK BODYCON CO-ORD SET,1499.0,BLACK,DARZI,184.47941042394774,4.101225865898192
18156542,971.0,WEAVERS VILLA MAGENTA ETHNIC MOTIFS EMBROIDERED DUPATTA,1199.0,MAGENTA,WEAVERS VILLA,184.47941042394774,4.101225865898192
18807090,73.0,ANNABELLE BY PANTALOONS WOMEN BLACK HIGH-RISE PLEATED TROUSERS,1899.0,BLACK,ANNABELLE BY PANTALOONS,184.47941042394774,4.101225865898192
19375998,854.0,SUMAVI-FASHION WOMEN BLUE SOLID DENIM SKIRTS,2000.0,BLUE,SUMAVI-FASHION,184.47941042394774,4.101225865898192
1518333,242.0,DUPATTA BAZAAR WHITE & GOLD-TONED EMBROIDERED & EMBELLISHED CHIFFON DUPATTA,899.0,WHITE,DUPATTA BAZAAR,87.0,4.022988506
4451422,750.0,ROADSTER WOMEN BLACK REGULAR FIT MID-RISE CLEAN LOOK STRETCHABLE JEANS,2099.0,BLACK,ROADSTER,664.0,3.846385542
